,아파트,금액(만원),면적,층,주소
268,에코메트로7,45000,84.99,3,논현동 757-1
546,에코에비뉴,35500,84.99,9,서창동 695
565,에코에비뉴,32200,84.94,2,서창동 695
353,에코에비뉴,35000,84.92,8,서창동 695
24,엘에이치미추홀퍼스트,40000,84.73,22,용현동 지구BL2
25,엘에이치미추홀퍼스트,40000,84.73,22,용현동 지구BL2
12,엘에이치미추홀퍼스트,46000,84.73,18,용현동 지구BL2
149,엘에이치미추홀퍼스트,38250,84.73,3,용현동 지구BL2
156,용현2단지금호타운,34500,84.53,11,용현동 647
76,용현동아,21500,84.56,4,용현동 572-3
144,"월드스테이트(101~111,124~132)",39500,84.98,14,주안동 1614
19,"월드스테이트(101~111,124~132)",41000,84.98,28,주안동 1614
154,월드스테이트(112~123),35000,84.99,15,주안동 1614
146,월드스테이트(112~123),39000,84.98,16,주안동 1614
34,월드스테이트(112~123),37000,84.98,9,주안동 1614
31,월드스테이트(112~123),38500,84.99,12,주안동 1614
141,월드스테이트(201~205),43000,84.98,13,주안동 1614
360,유호엔시티101-103동,34000,84.83,3,논현동 66-24
511,이편한세상서창,41800,84.92,16,서창동 685
506,이편한세상서창,42000,84.92,14,서창동 685
504,이편한세상서창,42000,84.92,13,서창동 685
503,이편한세상서창,42200,84.92,20,서창동 685
491,이편한세상서창,43800,84.92,20,서창동 685
515,이편한세상서창,40800,84.92,9,서창동 685
481,이편한세상서창,47000,84.92,21,서창동 685
519,이편한세상서창,40000,84.95,19,서창동 685
520,이편한세상서창,40000,84.95,11,서창동 685
474,이편한세상서창,49500,84.92,5,서창동 685
170,인천SKSkyVIEW,29300,84.98,38,용현동 664
132,인천SKSkyVIEW,49000,84.99,5,용현동 664
131,인천SKSkyVIEW,49000,84.98,25,용현동 664
302,인천간석휴먼시아2단지,40900,84.87,21,간석동 941
377,주공11단지,31000,84.9,12,만수동 1113
548,주공11단지(단풍마을),35000,84.99,4,논현동 602-1
343,주공11단지(단풍마을),36000,84.99,3,논현동 602-1
537,주공11단지(단풍마을),37000,84.79,3,논현동 602-1
352,주공11단지(단풍마을),35000,84.99,13,논현동 602-1
354,주공11단지(단풍마을),34800,84.79,3,논현동 602-1
150,진흥,37000,84.64,12,주안동 1606
332,청광플러스원아파트,36700,84.99,16,서창동 640
308,청광플러스원아파트,40000,84.99,24,서창동 640
356,포레시안,34500,84.35,15,만수동 1115-1
305,포레시안,40200,84.93,6,만수동 1115-1
475,포레시안,49000,84.93,7,만수동 1115-1
529,포레시안,38000,84.35,19,만수동 1115-1
538,포레시안,36500,84.35,10,만수동 1115-1
266,포레시안,45000,84.95,17,만수동 1115-1
263,포레시안,46000,84.93,11,만수동 1115-1
270,포레시안,44700,84.95,13,만수동 1115-1
539,포레시안,36500,84.35,10,만수동 1115-1
514,풍림아이원,41000,84.96,12,간석동 935
27,풍림아이원,40000,84.94,18,학익동 721
398,한국,27700,84.23,13,만수동 1045
397,한국,27700,84.23,13,만수동 1045
67,한국,25500,84.62,22,용현동 627-47
142,한신휴플러스,40800,84.83,7,주안동 1607
60,한신휴플러스,29000,84.83,15,주안동 1607
65,한화꿈에그린,26000,84.37,14,숭의동 86-1
329,향촌휴먼시아2단지,37500,84.8,16,만수동 1116-1
168,현광2차,30000,84.49,5,학익동 686-12
40,현대,35000,84.33,9,주안동 80
394,현대(893-0),28300,84.99,11,간석동 893
559,현대(893-0),34200,84.99,13,간석동 893
554,현대(893-0),34700,84.99,12,간석동 893
477,호반베르디움,49000,84.74,17,서창동 702
259,호반베르디움,47000,84.74,7,서창동 702
260,호반베르디움,47000,84.74,7,서창동 702
256,호반베르디움,47500,84.86,18,서창동 702
251,호반베르디움,49000,84.74,21,서창동 702
471,호반베르디움,50000,84.74,3,서창동 702
265,호반베르디움,45500,84.74,21,서창동 702
541,휴먼시아동산마을,36000,84.6,6,논현동 603-1
334,휴먼시아동산마을,36500,84.6,13,논현동 603-1
533,휴먼시아동산마을,38000,84.6,17,논현동 603-1
317,휴먼시아동산마을,39000,84.6,20,논현동 603-1
