,아파트,금액(만원),면적,층,주소
11,부평신일해피트리더루츠,60500,84.99,15,산곡동 180-78
234,부평역화성파크드림,55000,84.82,21,부평동 995
287,부평자이,40900,84.75,13,구산동 360
291,부평자이,40000,84.75,7,구산동 360
47,부평자이,39800,84.75,14,구산동 360
284,브라운스톤백운,41500,84.93,20,십정동 617
281,브라운스톤백운,42000,84.93,11,십정동 617
304,삼산벽산블루밍,38000,84.32,4,삼산동 170-1
333,삼산타운2단지,35000,84.98,1,삼산동 445-5
250,삼산타운2단지,49500,84.98,12,삼산동 445-5
251,삼산타운2단지,49000,84.98,4,삼산동 445-5
247,삼산타운2단지,50000,84.98,4,삼산동 445-5
24,삼산타운2단지,51000,84.98,4,삼산동 445-5
23,삼산타운2단지,51500,84.98,19,삼산동 445-5
20,삼산타운2단지,53500,84.98,10,삼산동 445-5
13,삼산타운2단지,57400,84.96,13,삼산동 445-5
238,삼산타운2단지,54000,84.98,14,삼산동 445-5
235,삼산타운2단지,55000,84.98,5,삼산동 445-5
28,삼산타운2단지,49500,84.98,22,삼산동 445-5
226,삼산타운6단지,59800,84.07,3,삼산동 454-13
217,삼산타운6단지,62500,84.07,17,삼산동 454-13
6,삼산타운6단지,64500,84.07,10,삼산동 454-13
219,삼산타운6단지,61000,84.07,14,삼산동 454-13
10,삼산타운7단지,61000,84.96,3,삼산동 453-1
9,삼산타운7단지,61000,84.07,5,삼산동 453-1
218,삼산타운7단지,61500,84.07,8,삼산동 453-1
5,삼산타운7단지,64500,84.96,12,삼산동 453-1
222,삼산타운7단지,60500,84.07,6,삼산동 453-1
230,삼산타운7단지,57000,84.07,2,삼산동 453-1
255,서해그랑블,48000,84.98,23,삼산동 513
242,서해그랑블,51800,84.98,14,삼산동 513
25,서해그랑블,51000,84.98,16,삼산동 513
39,서해그랑블,44500,84.98,18,삼산동 513
361,신명스카이뷰,33000,84.99,9,산곡동 506
320,십정뜨란채1단지,36000,84.46,12,십정동 608-4
348,쌍용,34140,84.87,13,청천동 259
220,쌍용더플래티넘부평,60750,84.82,15,산곡동 519
227,쌍용더플래티넘부평,58500,84.74,11,산곡동 519
58,우성3차(294-35),36000,84.97,8,산곡동 294-35
379,우성3차(294-35),32000,84.97,1,산곡동 294-35
84,우성3차(294-35),32000,84.97,3,산곡동 294-35
405,우성4차,30000,84.97,3,산곡동 306-3
127,욱일,27000,84.16,13,부평동 65-7
170,인향,20000,84.95,9,청천동 377-9
165,인향,21000,84.95,13,청천동 377-9
296,임광그대가,39000,84.91,1,삼산동 500
81,청천푸르지오,32500,84.34,2,청천동 176
68,청천푸르지오,34400,84.34,12,청천동 176
345,청천푸르지오,34500,84.34,4,청천동 176
388,청천푸르지오,31500,84.34,1,청천동 176
362,청천푸르지오,33000,84.94,17,청천동 176
344,청천푸르지오,34500,84.34,4,청천동 176
358,청천푸르지오,33000,84.34,19,청천동 176
342,청천푸르지오,34700,84.94,20,청천동 176
335,청천푸르지오,35000,84.34,19,청천동 176
426,태화(416),28800,84.9,6,갈산동 416
318,풍림아파트(101동~110동),36300,84.98,6,일신동 409
56,풍림아파트(101동~110동),36500,84.98,15,일신동 409
309,풍림아파트(101동~110동),37500,84.98,14,일신동 409
355,풍림아파트(101동~110동),33750,84.98,3,일신동 409
368,풍림아파트(101동~110동),32500,84.98,2,일신동 409
73,풍림아파트(101동~110동),33800,84.98,16,일신동 409
74,하나,33500,84.75,5,갈산동 362
367,하나,32700,84.75,3,갈산동 362
75,하나,33000,84.75,1,갈산동 362
78,하나,32700,84.75,3,갈산동 362
357,하나,33200,84.75,1,갈산동 362
313,하나,36900,84.75,16,갈산동 362
324,"한국1,동아,팬더",35800,84.36,12,갈산동 369
329,"한국1,동아,팬더",35400,84.36,14,갈산동 369
390,"한국1,동아,팬더",31300,84.36,10,갈산동 369
334,한신휴,35000,84.98,15,산곡동 222
307,한신휴,37800,84.98,20,산곡동 222
50,한신휴,38900,84.98,20,산곡동 222
302,한신휴,38000,84.98,14,산곡동 222
360,한화1단지,33000,84.37,2,산곡동 124-23
326,한화1단지,35500,84.37,17,산곡동 124-23
327,한화1단지,35500,84.37,7,산곡동 124-23
418,현대,29500,84.56,13,삼산동 40-1
396,현대(124-1),30900,84.99,3,산곡동 124-1
336,현대(124-1),35000,84.99,4,산곡동 124-1
366,현대(124-1),32800,84.99,6,산곡동 124-1
97,현대(124-1),30000,84.99,3,산곡동 124-1
308,현대1차,37780,84.96,8,산곡동 307
319,현대1차,36000,84.96,8,산곡동 307
295,현대2차,39000,84.96,6,산곡동 311-126
314,현대2차,36750,84.96,4,산곡동 311-126
59,현대3차,36000,84.94,12,산곡동 370-399
